t,ax,ay,az,gx,gy,gz
1.544000000000000057e+02,-2.034339035773385929e-01,-1.218071151330315238e-01,9.787386200622185228e+00,5.870394804857317905e-02,1.193050686660433873e-01,-1.559446873129304656e+01
1.544099999999999966e+02,-1.196126658680245480e-01,-1.912434997431657069e-01,9.704830526849299588e+00,-9.244331084808621313e-02,-2.367933989222098176e-02,-1.541203751795951682e+01
1.544199999999999875e+02,3.384538859894648533e-01,-1.507830237897708481e-01,9.802237464424409907e+00,7.955167017055481127e-02,4.486708140092277725e-02,-1.549547476445073535e+01
1.544300000000000068e+02,-3.672313763077546429e-03,-1.693032660493753172e-01,9.629491180289106111e+00,1.883801210819323613e-01,-2.948015038456434644e-01,-1.512906647291044138e+01
1.544399999999999977e+02,1.108531577253014516e-01,-1.684528995063976908e-01,9.799550591049037251e+00,2.309306881264075462e-02,-1.500162247836020479e-01,-1.522647205770357814e+01
1.544499999999999886e+02,1.007209102997765060e-01,-1.689013679913010935e-01,9.744162814028721087e+00,-1.484166559799860174e-01,-2.404018173768435462e-01,-1.457622098854861825e+01
1.544600000000000080e+02,-1.266907462058215750e-01,-5.623138704194315107e-02,9.933655309710236025e+00,3.152179086405048625e-01,-8.443200308717174751e-02,-1.580272290641785382e+01
1.544699999999999989e+02,-1.793124784335926314e-01,-1.631912337685087755e-01,9.941830631794287498e+00,-5.733371386127014691e-02,-1.420591813925675406e-01,-1.538432701060819419e+01
1.544799999999999898e+02,6.423133625895667553e-02,-6.491710103378534047e-02,9.809594714841198382e+00,1.828820252842476013e-01,2.261083021126092663e-01,-1.458125344903070442e+01
1.544900000000000091e+02,-2.220453751503901896e-01,-2.107011030108180971e-01,9.619489166646047806e+00,-2.163658776673726969e-01,2.659179563072863739e-01,-1.556711528058108662e+01
1.545000000000000000e+02,9.776591369651063679e-02,-5.487901562213833018e-02,9.699642900478290031e+00,1.298555038908722759e-01,-5.694549772832766532e-01,-1.476164109170722227e+01
1.545099999999999909e+02,-1.170553230852642429e-02,-1.902747921256297825e-01,9.809073749994668745e+00,-1.850004874319770842e-01,6.011597893750190297e-02,-1.571593144871395253e+01
1.545200000000000102e+02,6.160542355371026457e-02,-1.891005906183867435e-01,9.721189741606311330e+00,2.887984000918122907e-03,5.179526836499325215e-01,-1.480218151088826772e+01
1.545300000000000011e+02,3.034422502910076938e-02,-3.443044046071380704e-01,9.780237453228817657e+00,1.601416523024340455e-01,-3.499537959578443713e-01,-1.467771654835659412e+01
1.545399999999999920e+02,3.568284986579611101e-02,-2.569419985982991372e-01,9.975500486072427009e+00,1.816769579211494068e-01,2.242750965048920797e-01,-1.507319042104541573e+01
1.545500000000000114e+02,1.044865416056875961e-02,-2.368097637279981127e-01,9.763135448705293484e+00,1.163471264562457724e-01,1.928402044264167225e-01,-1.536239539219156569e+01
1.545600000000000023e+02,2.816017539623824270e-02,-3.475713963694642139e-01,9.814185180789303686e+00,1.955358133605666626e-01,-6.032980830821985802e-02,-1.488523731463828170e+01
1.545699999999999932e+02,4.608501354046430284e-03,-2.529685110998729503e-01,9.838473881212619787e+00,1.139886313592696487e-01,1.704094840285921564e-01,-1.474677632611203748e+01
1.545800000000000125e+02,-1.376473441091406735e-01,-9.797193725790417917e-02,9.713456075273386503e+00,-1.447746837196421388e-01,-1.039767681935071936e-01,-1.489755325300450828e+01
1.545900000000000034e+02,-3.938585671692143575e-02,-8.701234019305553735e-02,9.743859223379745416e+00,-7.321240233538230113e-02,-2.351853411614112377e-01,-1.486966903548018060e+01
1.545999999999999943e+02,2.169770748750664835e-01,-3.351878843203016656e-01,9.782313871020859253e+00,6.641702247549582938e-02,6.109597902965704375e-01,-1.474792077575791005e+01
1.546100000000000136e+02,3.141158493773917038e-02,-4.156044192192842601e-04,9.822034133530936018e+00,-1.733539648240469966e-01,-3.414145320514026111e-02,-1.495601195730503541e+01
1.546200000000000045e+02,1.142449563001761703e-01,-8.276162780228127347e-02,9.897846034813349902e+00,2.658805100430297608e-01,-4.982488824401118399e-02,-1.476909877372652247e+01
1.546299999999999955e+02,-9.831431262668516302e-02,4.136289764854936268e-02,9.699252318443118526e+00,-2.525602026384969612e-02,4.859668566095372289e-02,-1.615505998379506281e+01
1.546399999999999864e+02,-1.000552634734728497e-01,-5.601613513444510251e-02,9.811146324798171392e+00,1.415568843236148303e-02,8.225164054751983589e-02,-1.569863055150779019e+01
1.546500000000000057e+02,-1.203452424624448791e-01,2.252915710826747242e-02,9.512837629215804114e+00,-1.374745421649016530e-01,3.479200563508406674e-01,-1.520207376566590263e+01
1.546599999999999966e+02,-1.331768990387892648e-01,-1.247952276153562190e-01,9.803124227384399703e+00,9.834088949974686966e-02,2.065281084871545270e-01,-1.446921877312017735e+01
1.546699999999999875e+02,-1.622398496755902420e-01,-2.443071735235108344e-01,9.844277292677311664e+00,-1.640172495409505382e-01,-2.138347577584413794e-02,-1.559616010201668246e+01
1.546800000000000068e+02,2.332145602483472538e-02,-1.405360217215822494e-01,9.825344822070615436e+00,-2.254481988857001962e-01,2.554098614751288965e-01,-1.545676096374504205e+01
1.546899999999999977e+02,-3.558188353382118335e-02,-3.904740038897266396e-01,1.000778702609217063e+01,-1.512802806686388002e-01,3.873191513818408094e-02,-1.447791047342144921e+01
1.546999999999999886e+02,8.754948832617212573e-02,-1.827555086984923305e-01,9.744781961493254485e+00,1.206528032708891265e-03,-1.408010764683305660e-01,-1.618486130781286647e+01
1.547100000000000080e+02,-3.103964849550655200e-02,-1.711885801082801417e-01,9.774999728983019054e+00,-5.062322071399619899e-02,2.219022728816761603e-01,-1.366519023846276681e+01
1.547199999999999989e+02,-2.403239790981312185e-01,-7.012138542316694034e-02,9.788225035084193948e+00,3.185763381549187589e-01,-2.579480478321016235e-01,-1.556169227772963382e+01
1.547299999999999898e+02,4.436168006413884757e-02,-1.459598557480411563e-01,9.861231149480515157e+00,1.655478293619039865e-01,3.018275037517508252e-01,-1.515999159843508082e+01
1.547400000000000091e+02,-2.030413575816119587e-01,-2.107959926187563948e-01,9.986992527803655761e+00,7.018278631909529233e-03,1.838455797330316166e-01,-1.487253560485457449e+01
1.547500000000000000e+02,2.143943473816850576e-02,-3.064349795229600604e-01,9.917828609888935887e+00,5.217864883251389918e-02,-4.370685273518015723e-02,-1.540516737658832191e+01
1.547599999999999909e+02,-7.713575356158919316e-02,-2.419170904078856432e-01,9.759355818006605787e+00,2.104117573144436426e-01,1.257892942284880022e-01,-1.552814633316935833e+01
1.547700000000000102e+02,2.325100336574587034e-02,-1.890648626174578073e-01,9.651913188646643604e+00,3.478621107932125534e-01,-4.949263443395456735e-02,-1.514541546564735874e+01
1.547800000000000011e+02,-1.443618557267099256e-01,-2.370252533919058879e-01,9.902687186093887206e+00,1.027845470418114193e-01,1.204343308706296578e-01,-1.564585284139535126e+01
1.547899999999999920e+02,7.783255241455083739e-02,-4.288898520688226856e-01,9.830075053986963241e+00,4.589416661902428335e-02,-2.682911031859442907e-01,-1.496377771551777336e+01
1.548000000000000114e+02,3.760944630373803509e-03,-1.678340217332682238e-01,9.884156496192341379e+00,1.620709851714257146e-02,-1.341917857044748301e-02,-1.427875397713434502e+01
1.548100000000000023e+02,-3.442030790233886056e-02,-2.132774709094984456e-01,9.675580632774870793e+00,9.295871471356333127e-02,-1.672208736656134176e-01,-1.548913489547986622e+01
1.548199999999999932e+02,-1.694750524852859375e-01,-2.151499853682809493e-01,9.739091388738646771e+00,2.386433856946494070e-01,4.753526518902154163e-01,-1.498447484598126600e+01
1.548300000000000125e+02,1.810534841351558177e-01,-1.502541599404107198e-01,9.715195660302693881e+00,6.402455951073893203e-02,3.916607139553365813e-02,-1.507915626908659057e+01
